video_id,video_title,categoryId,category,tags,published_date,thumbnails_medium_url,description,channel_id,crawled_time
9fXVRD5GUKg,"Sam Po Kong Semarang, Indonesia",22,People & Blogs,Not found,2014-01-04 13:27:58,https://i.ytimg.com/vi/9fXVRD5GUKg/mqdefault.jpg,"Sam Po Kong Semarang, Indonesia. Is a temple with the legend of General Cheng Ho, from China that come to Java Island. Just googling to find the right story.",UCOhTlOw5Kh50OwYa2H1NyOA,2022-09-22 11:25:09
QE23tHvNFVc,Ada Nganu di Sam Po Kong #Wisata Semarang,19,Travel & Events,Not found,2018-06-04 06:52:32,https://i.ytimg.com/vi/QE23tHvNFVc/mqdefault.jpg,"Sam Po Kong

Dua orang wanita Tionghoa sedang bersembahyang di Gedung Batu
Kelenteng Gedung Batu Sam Po Kong adalah sebuah petilasan, yaitu bekas tempat persinggahan dan pendaratan pertama seorang Laksamana Tiongkok beragama islam yang bernama Zheng He / Cheng Ho. Terletak di daerah Simongan, sebelah barat daya Kota Semarang. Tanda yang menunjukan sebagai bekas petilasan yang berciri keislamanan dengan ditemukannya tulisan berbunyi ""marilah kita mengheningkan cipta dengan mendengarkan bacaan Al Qur'an"".

Disebut Gedung Batu karena bentuknya merupakan sebuah Gua Batu besar yang terletak pada sebuah bukit batu, orang Indonesia keturunan cina menganggap bangunan itu adalah sebuah kelenteng - mengingat bentuknya memiliki arsitektur bangunan cina sehingga mirip sebuah kelenteng. Sekarang tempat tersebut dijadikan tempat peringatan dan tempat pemujaan atau bersembahyang serta tempat untuk berziarah. Untuk keperluan tersebut, di dalam gua batu itu diletakan sebuah altar, serta patung-patung Sam Po Tay Djien. Padahal laksamana cheng ho adalah seorang muslim, tetapi oleh mereka di anggap dewa. Hal ini dapat dimaklumi mengingat agama Kong Hu Cu atau Tau menganggap orang yang sudah meninggal dapat memberikan pertolongan kepada mereka.

Menurut cerita, Laksamana Zheng He sedang berlayar melewati laut jawa, namun saat melintasi laut jawa, banyak awak kapalnya yang jatuh sakit, kemudian ia memerintahkan untuk membuang sauh. Kemudian merapat ke pantai utara semarang untuk berlindung di sebuah Goa dan mendirikan sebuah masjid di tepi pantai yang sekarang telah berubah fungsi menjadi kelenteng. Bangunan itu sekarang telah berada di tengah kota Semarang di akibatkan pantai utara jawa selalu mengalami proses pendangkalan yang di akibatkan adanya proses sedimentasi sehingga lambat-laun daratan akan semakin bertambah luas kearah utara.

Konon, setelah Zheng He meninggalkan tempat tersebut karena ia harus melanjutkan pelayarannya, banyak awak kapalnya yang tinggal di desa Simongan dan kawin dengan penduduk setempat. Mereka bersawah dan berladang di tempat itu. Zheng He memberikan pelajaran bercocok-tanam serta menyebarkan ajaran-ajaran Islam, di Klenteng ini juga terdapat Makam Seorang Juru Mudi dari Kapal Laksamana Cheng Ho.",UCoi2q6x_uEKkssyZuPoBn2A,2022-09-22 11:25:09
U5DvqDLSxbQ,Jelajah Jawa Tengah,24,Entertainment,Not found,2015-08-26 08:53:10,https://i.ytimg.com/vi/U5DvqDLSxbQ/mqdefault.jpg,"Sebagai  miniatur yang mewakili keindahan Indonesia dan pusat budaya Jawa, Jawa Tengah memang terkenal dengan keindahan alam, tradisi, budaya dan kulinernya. Bekerja sama dengan Pemerintah Provinsi Jawa Tengah, Jelajah Jawa Tengah kali ini  menjelajahi 41 lokasi wisata yang unik dan berbeda-beda dari 10 kota di Jawa Tengah, seperti Semarang, Pekalongan, Magelang, Wonosobo, Kudus, Solo, Banyumas, Boyolali, Banjarnegara hingga Jepara. 

Dalam video tersebut, kamu akan diajak mengunjungi Candi Borobudur, Kampung Batik Kauman, Klenteng Sam Poo Kong, Padepokan Keris Brojobuwono, Baturraden Adventure Forest, trekking Gunung Merbabu-Merapi hingga belajar menari tari Kretek dan tari Srimpi. Kamu bahkan bisa mengetahui tempat kuliner khas Jawa Tengah yang banyak dikunjungi oleh pecinta kuliner, seperti sate kerbau khas Kudus dan serabi Purwokerto.

Yuk, Jelajah Jawa Tengah! Jangan lupa subscribe ya!",UCu4kAVdaLhX-9UZt1f9-ARg,2022-09-22 11:25:09
rXIyGVYsAfk,MENGEJUTKAN !! TIBA-TIBA CHINA MINTA DAMAI DI NATUNA USAI DIANCAM INI OLEH INDONESIA,28,Science & Technology,Not found,2022-05-31 01:00:08,https://i.ytimg.com/vi/rXIyGVYsAfk/mqdefault.jpg,"MENGEJUTKAN !! TIBA-TIBA CHINA MINTA DAMAI DI NATUNA USAI DIANCAM INI OLEH INDONESIA 

Pulau Natuna bakal dipertahankan Indonesia mati-matian dari ancaman klaim China. China mengklaim kepemilikan Natuna Utara milik Indonesia.
China mengaku mereka punya hak atas Natuna Utara alias Indonesia harus berbagi kepemilikan.

Alasan China mengklaim Natuna cuma karena faktor sejarah.
Mereka mengaku Dinasti Han sudah menemukan Natuna sebelum abad ke-19. Kemudian Dinasti Ming yang mengelola pulau tersebut hingga menjadikannya pelabuhan angkatan laut kekaisaran. Hal itu dimulai dari pelayaran laksamana Zheng He ke Selatan. Zheng He sebelum memasuki Nusantara mampir dulu sejenak ke Natuna yang ia namai Anbuna.

#natunautara #lcs

Source : https://bit.ly/3Dz4dDp",UCpGUKWU_PrKQgERMtzY5DZg,2022-09-22 11:25:09
fLM0-KEkv4w,"Eps. 7 (Sejarah Di Balik Nama Ngaliyan, Sam Poo Kong, Sekayu)",22,People & Blogs,Not found,2015-08-06 10:33:27,https://i.ytimg.com/vi/fLM0-KEkv4w/mqdefault.jpg,"Dalam episode kali ini, DI BALIK NAMA akan bercerita tentang sejarah di balik nama kawasan Ngaliyan, klentheng kebanggan warga Semarang Sam Poo Kong, dan cerita dari kawasan Sekayu. Seperti apa ya kisahnya?

Produser : Imam Muttaqin
Program Director : Lintang Jati Rahina
Scriptwriter : Pranamya Dewati
Camera Person : Ibrahim Muhammad
Marketing Communication : Tri Utami, Eggie Nurmahabi
Editor Gambar : Lintang Jati Rahina
Dubber : Pranamya Dewati",UCDOt-rDGjsDVd_tqnfYQ2Cg,2022-09-22 11:25:10
ZeBmFpNLkUw,"Harmoni dalam Keberagaman, Damai dalam Persaudaraan - Ust. Abdul Somad, Lc, MA",27,Education,Not found,2017-11-14 20:02:56,https://i.ytimg.com/vi/ZeBmFpNLkUw/mqdefault.jpg,"TABLIGH AKBAR Bersama Ust. Abdul Somad, Lc, MA 
@Masjid Muhammad Cheng Hoo Hertasning Baru - Gowa
Rangkaian Kegiatan Milad Ke-VI Masjid Muhammad Cheng Hoo dengan Tema: ""Harmoni dalam keberagaman, damai dalam persaudaraan"". 08 November 2017",UCgkH559juvzyAUJ27o9rWlQ,2022-09-22 11:25:10
nb_DBnz-0pM,wisata waduk gambringan,22,People & Blogs,Not found,2022-02-09 00:00:36,https://i.ytimg.com/vi/nb_DBnz-0pM/mqdefault.jpg,,UCmLVSuK9qkSL5mVsAGzkaDw,2022-09-22 11:25:10
HQUgU5RMpBE,Wisata Semarang Klenteng Sam Poo Kong - Indonesia Travel Destinations,19,Travel & Events,Not found,2019-08-07 10:12:34,https://i.ytimg.com/vi/HQUgU5RMpBE/mqdefault.jpg,"Wisata Semarang Klenteng Sam Poo Kong - Indonesia Travel Destinations

Sam Poo Kong (Chinese: 三保洞; pinyin: Sānbǎo Dòng), also known as Gedung Batu Temple, is the oldest Chinese temple in Semarang, Central Java, Indonesia. Originally established by the Chinese Muslim explorer Zheng He (also known as Sanbao), it is now shared by Indonesians of multiple religious denominations, including Muslims and Buddhists, and ethnicities, including Chinese and Javanese.

The Sam Poo Kong complex includes five temples in a mixed Chinese and Javanese architectural style. The temples are Sam Poo Kong (the oldest), Tho Tee Kong, Kyai Juru Mudi Temple, Kyai Jangkar Temple, and Kyai Cundrik Bumi Temple. An additional worship site, Mbah Kyai Tumpeng, is in the complex. The buildings are spread over 3.2 hectares (7.9 acres).

Tho Tee Kong (also known as Dewa Bumi Temple), is just within the large gate at the northern end of the complex; it is used by those who seek the blessings of the earth god Tu Di Gong. Next to Tho Tee Kong is Kyai Juru Mudi Temple, the burial site of Wang Jing Hong, one of Zheng He's deputies. It is often frequented by people looking for success in business.

The main temple is built directly in front of the cave, south of Kyai Juru Mudi. In the cave are an altar, fortune-telling equipment, and a small statue of Zheng He. Underneath the altar is a well that is said to never go dry and to be capable of healing various ailments. Before the 2002 renovations, the temple measured 16 by 16 metres (52 by 52 ft). It now measures 34 by 34 metres (112 by 112 ft).

Further south is the Kyai Jankar Temple, named after a sacred anchor used by Zheng He which is held inside. The temple contains an altar to Zheng's crewmen who died while fulfilling their duties. The southernmost temple is Kyai Cundrik Bumi, which is used to worship a weapon used by Zheng. Nearby is Mbah Kyai Tumpeng, a prayer site used by people wishing for their well-being.

Entry Ticket: 
Adult            Rp.10.000,- 
Terusan             Rp.25.000,- 

#mikety #southeastasia #travel #travelphotography #travelgram #instatravel #asia #vacation #photography #indonesiatravel #semarang #sampokong #wisatasemarang #exploresemarang #semaranghits #jalanjalansemarang #holiday #wisatajateng #sampookong #jawatengah #wonderfulindonesia  

Thanks for Watching
Please Share, Like, Subscribe & Follow

Find Me at:
E-mail          Mike _a_s@yahoo.com or Mikeandty2016@gmail.com
Twitter         https://twitter.com/mikeandty2016 
Instagram   https://www.instagram.com/mikety08/ 
Facebook    https://www.facebook.com/MikeTy2008

See u at my other videos......:D

By Mike Ty

Southeast asia tour - Vacation days – semarang - wisata semarang - wisata semarang kota - wisata semarang terbaru - tempat wisata semarang - mike ty - Indonesia travel destinations - explore semarang - semarang Indonesia - indonesia tourism - sam poo kong - sam poo kong semarang - sam poo kong temple - sam po kong - sam po kong semarang - sam po kong temple - semarang travel - klenteng sam poo kong - Laksamana Cheng Ho - Lopen Semarang – Sampookong - Wisata Klenteng Sam Poo Kong - wisata klenteng – klenteng - Indonesia Travel

-~-~~-~~~-~~-~-
Please watch: ""Vacation Days At The Wujil Resort Semarang - Mike Ty Digital Asset Management"" 
https://www.youtube.com/watch?v=eP00udi_q8c
-~-~~-~~~-~~-~-",UCt-Rz6nsK03L129RVTitnhQ,2022-09-22 11:25:10
slU10u2o1JY,Wisata Klenteng  Sam Poo Kong Semarang,24,Entertainment,Not found,2017-04-18 10:37:27,https://i.ytimg.com/vi/slU10u2o1JY/mqdefault.jpg,"Sam Poo Kong merupakan salah satu destinasi wisata yang ada di wilayag semarang.
------------------------------------------------------------------------------------------------
Sejarah Sam Poo Kong
Kelenteng Gedung Batu Sam Po Kong adalah sebuah petilasan, yaitu bekas tempat persinggahan dan pendaratan pertama seorang Laksamana Tiongkok beragama islam yang bernama Zheng He / Cheng Ho. Terletak di daerah Simongan, sebelah barat daya Kota Semarang. Tanda yang menunjukan sebagai bekas petilasan yang berciri keislamanan dengan ditemukannya tulisan berbunyi ""marilah kita mengheningkan cipta dengan mendengarkan bacaan Al Qur'an"".

Disebut Gedung Batu karena bentuknya merupakan sebuah Gua Batu besar yang terletak pada sebuah bukit batu, orang Indonesia keturunan cina menganggap bangunan itu adalah sebuah kelenteng - mengingat bentuknya memiliki arsitektur bangunan cina sehingga mirip sebuah kelenteng. Sekarang tempat tersebut dijadikan tempat peringatan dan tempat pemujaan atau bersembahyang serta tempat untuk berziarah. Untuk keperluan tersebut, di dalam gua batu itu diletakan sebuah altar, serta patung-patung Sam Po Tay Djien. Padahal laksamana cheng ho adalah seorang muslim, tetapi oleh mereka di anggap dewa. Hal ini dapat dimaklumi mengingat agama Kong Hu Cu atau Tau menganggap orang yang sudah meninggal dapat memberikan pertolongan kepada mereka.
Menurut cerita, Laksamana Zheng He sedang berlayar melewati laut jawa, namun saat melintasi laut jawa, banyak awak kapalnya yang jatuh sakit, kemudian ia memerintahkan untuk membuang sauh. Kemudian merapat ke pantai utara semarang untuk berlindung di sebuah Goa dan mendirikan sebuah masjid di tepi pantai yang sekarang telah berubah fungsi menjadi kelenteng. Bangunan itu sekarang telah berada di tengah kota Semarang di akibatkan pantai utara jawa selalu mengalami proses pendangkalan yang di akibatkan adanya proses sedimentasi sehingga lambat-laun daratan akan semakin bertambah luas kearah utara.

Konon, setelah Zheng He meninggalkan tempat tersebut karena ia harus melanjutkan pelayarannya, banyak awak kapalnya yang tinggal di desa Simongan dan kawin dengan penduduk setempat. Mereka bersawah dan berladang di tempat itu. Zheng He memberikan pelajaran bercocok-tanam serta menyebarkan ajaran-ajaran Islam, di Klenteng ini juga terdapat Makam Seorang Juru Mudi dari Kapal Laksamana Cheng Ho",UCsZQim7FgQWfxDjpP0AShaQ,2022-09-22 11:25:10
c21438XuCp0,"the Great Temple SAM POO KONG Semarang, Indonesia",22,People & Blogs,Not found,2022-01-12 08:39:20,https://i.ytimg.com/vi/c21438XuCp0/mqdefault.jpg,Tempat bagus buat selfi,UCgXOGc5GH0oZs5s88I5HO8w,2022-09-22 11:25:10
